observation_id,collection_run_id,supersedes,correction_reason,collected_at,provider_quote_timestamp,source_last_updated,quote_validity_text,collection_method,source_system,source_url,connector_id,connector_version,methodology_version,origin_country_iso3,origin_currency,destination_country_iso3,destination_currency,amount_sent,amount_sent_includes_fee,provider_id,provider_name_raw,provider_name_canonical,provider_type,option_id,option_name_raw,funding_method,delivery_method,amount_received,fee,fee_currency,fee_is_promotional,provider_fx_rate,benchmark_fx_rate,benchmark_source,benchmark_observation_id,speed_text,speed_hours_min,speed_hours_max,availability_status,status_detail,raw_payload_sha256,raw_payload_path,notes,rate_is_promotional,promotion_detail
43b5e8a2-e1d2-44d4-bbe9-521db16a91b3,run-20260909T111117Z-22d0f577,,,2026-09-09T11:11:17.298612+00:00,,09 September 2026,,published_tariff,collector,https://www.reservebank.to/index.php/financial-system/financial-markets/exchange-rates,benchmarks.nrbt,0.1.0,0.2,NZL,NZD,TON,TOP,1.0,,nrbt,National Reserve Bank of Tonga,National Reserve Bank of Tonga,other,,,,,1.3869625520110958,,,,1.3869625520110958,,,,,,,observed,"NRBT published BUY 0.7367 / MID 0.721 / SELL 0.7052 NZD per 1 TOP. This row's provider_fx_rate and amount_received are the MID rate inverted to TOP per 1 NZD (1.386963), per METHODOLOGY.md section 2.4's quote-orientation convention. This is a benchmark rate observation, not a transfer quote -- fee and amount_sent_includes_fee are not applicable and are null, not zero.",ae44686cff21f14b90cb36d5281210bb2ba8f6c4750566771fb3c65e197701f6,archive/nrbt/2026/09/09/ae44686cff21f14b90cb36d5281210bb2ba8f6c4750566771fb3c65e197701f6.json.gz,,,
893d37dc-e319-40a3-af86-a924e4afa45c,run-20260909T114049Z-29d812b5,,,2026-09-09T11:40:49.204674+00:00,,09 September 2026,,published_tariff,collector,https://www.reservebank.to/index.php/financial-system/financial-markets/exchange-rates,benchmarks.nrbt,0.1.0,0.2,NZL,NZD,TON,TOP,1.0,,nrbt,National Reserve Bank of Tonga,National Reserve Bank of Tonga,other,,,,,1.3869625520110958,,,,1.3869625520110958,,,,,,,observed,"NRBT published BUY 0.7367 / MID 0.721 / SELL 0.7052 NZD per 1 TOP. This row's provider_fx_rate and amount_received are the MID rate inverted to TOP per 1 NZD (1.386963), per METHODOLOGY.md section 2.4's quote-orientation convention. This is a benchmark rate observation, not a transfer quote -- fee and amount_sent_includes_fee are not applicable and are null, not zero.",e5c5907899488d11a501b141cdc1b94964f031366d01f04a41795453b88a1ed5,archive/nrbt/2026/09/09/e5c5907899488d11a501b141cdc1b94964f031366d01f04a41795453b88a1ed5.json.gz,,,
70a863ec-23c5-4256-a890-32311be72092,run-20260909T114705Z-5f0d0663,,,2026-09-09T11:47:05.907171+00:00,,09 September 2026,,published_tariff,collector,https://www.reservebank.to/index.php/financial-system/financial-markets/exchange-rates,benchmarks.nrbt,0.1.0,0.2,NZL,NZD,TON,TOP,1.0,,nrbt,National Reserve Bank of Tonga,National Reserve Bank of Tonga,other,,,,,1.3869625520110958,,,,1.3869625520110958,,,,,,,observed,"NRBT published BUY 0.7367 / MID 0.721 / SELL 0.7052 NZD per 1 TOP. This row's provider_fx_rate and amount_received are the MID rate inverted to TOP per 1 NZD (1.386963), per METHODOLOGY.md section 2.4's quote-orientation convention. This is a benchmark rate observation, not a transfer quote -- fee and amount_sent_includes_fee are not applicable and are null, not zero.",d1db87b7a40ae84e1bc9cde7a90b3cc25ebbf10c0457a81d4ba6ad37e3228531,archive/nrbt/2026/09/09/d1db87b7a40ae84e1bc9cde7a90b3cc25ebbf10c0457a81d4ba6ad37e3228531.json.gz,,,
da7c45e5-b407-4fee-a53c-215a0b95ece3,run-20260909T114705Z-5f0d0663,,,2026-09-09T11:47:05.907171+00:00,,09 September 2026,,published_tariff,collector,https://www.reservebank.to/index.php/financial-system/financial-markets/exchange-rates,benchmarks.nrbt,0.1.0,0.2,AUS,AUD,TON,TOP,1.0,,nrbt,National Reserve Bank of Tonga,National Reserve Bank of Tonga,other,,,,,1.6937669376693767,,,,1.6937669376693767,,,,,,,observed,"NRBT published BUY 0.6034 / MID 0.5904 / SELL 0.5773 AUD per 1 TOP. This row's provider_fx_rate and amount_received are the MID rate inverted to TOP per 1 AUD (1.693767), per METHODOLOGY.md section 2.4's quote-orientation convention. This is a benchmark rate observation, not a transfer quote -- fee and amount_sent_includes_fee are not applicable and are null, not zero.",d1db87b7a40ae84e1bc9cde7a90b3cc25ebbf10c0457a81d4ba6ad37e3228531,archive/nrbt/2026/09/09/d1db87b7a40ae84e1bc9cde7a90b3cc25ebbf10c0457a81d4ba6ad37e3228531.json.gz,,,
50ae569e-b6d1-43d1-b092-e6bc25db7eee,run-20260909T114705Z-5f0d0663,,,2026-09-09T11:47:07.531149+00:00,,,,public_quote,collector,https://www.orbitremit.com/currency-converter/aud-to-top,orbitremit,0.1.0,0.3,AUS,AUD,TON,TOP,500.0,,orbitremit,OrbitRemit,OrbitRemit,global_mto,,,,,867.41,,,,1.73482,,,,,,,observed,"OrbitRemit's own server-rendered comparison table states 500 AUD -> 867.41 TOP, an implied rate of 1.734820 TOP/AUD. This is the last table row still at OrbitRemit's own advertised promotional rate for new customers, capped at the first $500 AUD (scratch/round-01/orbitremit.md) -- not a rate a repeat customer or a larger transfer would necessarily get; the same table shows the implied rate declining toward ~1.65 for amounts above $500. No fee amount was found anywhere in raw bytes -- fee is null, not assumed zero. And the page's own meta description separately states $1 AUD = 1.69352 TOP, which matches neither this nor any other comparison-table row -- both are recorded as observed, not reconciled into one 'true' rate.",4dc4450175bcee3972f21a4d6f829ff29e8a2cb42a4eb157332acd03657a4215,archive/orbitremit/2026/09/09/4dc4450175bcee3972f21a4d6f829ff29e8a2cb42a4eb157332acd03657a4215.json.gz,,,
697779d7-b2bb-43bf-a79d-66267ad0bd99,run-20260909T230123Z-1bc6521b,,,2026-09-09T23:01:23.903560+00:00,,09 September 2026,,published_tariff,collector,https://www.reservebank.to/index.php/financial-system/financial-markets/exchange-rates,benchmarks.nrbt,0.1.0,0.2,NZL,NZD,TON,TOP,1.0,,nrbt,National Reserve Bank of Tonga,National Reserve Bank of Tonga,other,,,,,1.3869625520110958,,,,1.3869625520110958,,,,,,,observed,"NRBT published BUY 0.7367 / MID 0.721 / SELL 0.7052 NZD per 1 TOP. This row's provider_fx_rate and amount_received are the MID rate inverted to TOP per 1 NZD (1.386963), per METHODOLOGY.md section 2.4's quote-orientation convention. This is a benchmark rate observation, not a transfer quote -- fee and amount_sent_includes_fee are not applicable and are null, not zero.",72d84e5201f36e8492597a4ecbafceff41e8474f8e7997f3ce1b2151d13ea369,archive/nrbt/2026/09/09/72d84e5201f36e8492597a4ecbafceff41e8474f8e7997f3ce1b2151d13ea369.json.gz,,,
052860ef-b58a-4543-b3e2-17775f11cff0,run-20260909T230123Z-1bc6521b,,,2026-09-09T23:01:23.903560+00:00,,09 September 2026,,published_tariff,collector,https://www.reservebank.to/index.php/financial-system/financial-markets/exchange-rates,benchmarks.nrbt,0.1.0,0.2,AUS,AUD,TON,TOP,1.0,,nrbt,National Reserve Bank of Tonga,National Reserve Bank of Tonga,other,,,,,1.6937669376693767,,,,1.6937669376693767,,,,,,,observed,"NRBT published BUY 0.6034 / MID 0.5904 / SELL 0.5773 AUD per 1 TOP. This row's provider_fx_rate and amount_received are the MID rate inverted to TOP per 1 AUD (1.693767), per METHODOLOGY.md section 2.4's quote-orientation convention. This is a benchmark rate observation, not a transfer quote -- fee and amount_sent_includes_fee are not applicable and are null, not zero.",72d84e5201f36e8492597a4ecbafceff41e8474f8e7997f3ce1b2151d13ea369,archive/nrbt/2026/09/09/72d84e5201f36e8492597a4ecbafceff41e8474f8e7997f3ce1b2151d13ea369.json.gz,,,
059cf598-c299-4924-9c28-ff1543d9e89f,run-20260909T230123Z-1bc6521b,,,2026-09-09T23:01:24.968288+00:00,,,,public_quote,collector,https://www.orbitremit.com/currency-converter/aud-to-top,orbitremit,0.2.0,0.4,AUS,AUD,TON,TOP,5.0,,orbitremit,OrbitRemit,OrbitRemit,global_mto,,,,,8.67,,,,1.734,,,,,,,observed,"From OrbitRemit's own server-rendered comparison table: 5 AUD -> 8.67 TOP. fee is null, not assumed zero -- no fee amount was found anywhere in raw bytes on this page.",9df4e9953cf5565f3a0a850c0a7908e7909cd5a46a41cb801efc9e32b220efe5,archive/orbitremit/2026/09/09/9df4e9953cf5565f3a0a850c0a7908e7909cd5a46a41cb801efc9e32b220efe5.json.gz,,true,"The entire 5 AUD send qualifies for OrbitRemit's advertised promotional rate for new customers, capped at the first 500 AUD (scratch/round-01/orbitremit.md). Implied rate 1.734000 TOP/AUD."
28fe3e58-f151-481b-9b4c-b1074fe399a7,run-20260909T230123Z-1bc6521b,,,2026-09-09T23:01:24.968288+00:00,,,,public_quote,collector,https://www.orbitremit.com/currency-converter/aud-to-top,orbitremit,0.2.0,0.4,AUS,AUD,TON,TOP,10.0,,orbitremit,OrbitRemit,OrbitRemit,global_mto,,,,,17.34,,,,1.734,,,,,,,observed,"From OrbitRemit's own server-rendered comparison table: 10 AUD -> 17.34 TOP. fee is null, not assumed zero -- no fee amount was found anywhere in raw bytes on this page.",9df4e9953cf5565f3a0a850c0a7908e7909cd5a46a41cb801efc9e32b220efe5,archive/orbitremit/2026/09/09/9df4e9953cf5565f3a0a850c0a7908e7909cd5a46a41cb801efc9e32b220efe5.json.gz,,true,"The entire 10 AUD send qualifies for OrbitRemit's advertised promotional rate for new customers, capped at the first 500 AUD (scratch/round-01/orbitremit.md). Implied rate 1.734000 TOP/AUD."
087ea001-a3b5-491e-83a4-a18a389201bf,run-20260909T230123Z-1bc6521b,,,2026-09-09T23:01:24.968288+00:00,,,,public_quote,collector,https://www.orbitremit.com/currency-converter/aud-to-top,orbitremit,0.2.0,0.4,AUS,AUD,TON,TOP,25.0,,orbitremit,OrbitRemit,OrbitRemit,global_mto,,,,,43.35,,,,1.734,,,,,,,observed,"From OrbitRemit's own server-rendered comparison table: 25 AUD -> 43.35 TOP. fee is null, not assumed zero -- no fee amount was found anywhere in raw bytes on this page.",9df4e9953cf5565f3a0a850c0a7908e7909cd5a46a41cb801efc9e32b220efe5,archive/orbitremit/2026/09/09/9df4e9953cf5565f3a0a850c0a7908e7909cd5a46a41cb801efc9e32b220efe5.json.gz,,true,"The entire 25 AUD send qualifies for OrbitRemit's advertised promotional rate for new customers, capped at the first 500 AUD (scratch/round-01/orbitremit.md). Implied rate 1.734000 TOP/AUD."
